timestep,walltime_sec,ep_rew_mean,ep_len_mean
6983680,1321.48,6630.4151,800.00
7004160,1325.03,6631.4105,800.00
7024640,1328.55,6633.4480,800.00
7045120,1332.04,6633.7205,800.00
7065600,1335.84,6645.3874,800.00
7086080,1342.09,6640.1325,800.00
7106560,1347.08,6631.1247,800.00
7127040,1351.00,6628.3366,800.00
7147520,1354.98,6612.0510,800.00
7168000,1358.88,6615.3242,800.00
7188480,1362.90,6599.2014,800.00
7208960,1366.85,6603.4688,800.00
7229440,1370.81,6602.4407,800.00
7249920,1374.67,6599.4078,800.00
7270400,1378.52,6607.7825,800.00
7290880,1382.50,6600.6477,800.00
7311360,1386.39,6615.2495,800.00
7331840,1390.26,6622.4863,800.00
7352320,1394.28,6638.0513,800.00
7372800,1398.22,6648.4901,800.00
7393280,1402.21,6646.2056,800.00
7413760,1406.12,6655.5387,800.00
7434240,1410.10,6670.0801,800.00
7454720,1414.05,6680.2272,800.00
7475200,1417.80,6685.8883,800.00
7495680,1421.60,6701.1371,800.00
7516160,1425.63,6683.3726,800.00
7536640,1429.48,6655.6981,800.00
7557120,1433.44,6652.4343,800.00
7577600,1437.37,6641.3844,800.00
7598080,1441.54,6641.2545,800.00
7618560,1445.49,6652.3632,800.00
7639040,1449.45,6660.5273,800.00
7659520,1453.51,6656.0216,800.00
7680000,1457.58,6680.8267,800.00
7700480,1461.83,6673.4140,800.00
7720960,1465.99,6643.6509,800.00
7741440,1470.25,6645.5843,800.00
7761920,1474.42,6635.0320,800.00
7782400,1478.51,6644.9597,800.00
7802880,1482.72,6669.8953,800.00
7823360,1486.84,6683.6138,800.00
7843840,1490.97,6696.1369,800.00
7864320,1495.09,6702.5998,800.00
7884800,1499.26,6701.5168,800.00
7905280,1503.48,6698.5247,800.00
7925760,1507.71,6704.3725,800.00
7946240,1511.92,6701.1083,800.00
7966720,1516.00,6697.0562,800.00
7987200,1520.05,6684.6522,800.00
8007680,1524.41,6667.1941,800.00
8028160,1528.52,6666.7725,800.00
8048640,1532.68,6658.6026,800.00
8069120,1536.74,6654.8680,800.00
8089600,1540.88,6646.9222,800.00
8110080,1545.08,6645.0047,800.00
8130560,1549.32,6642.4883,800.00
8151040,1553.56,6658.3726,800.00
8171520,1557.73,6665.9060,800.00
8192000,1561.84,6667.5830,800.00
8212480,1566.17,6683.3101,800.00
8232960,1570.37,6689.7770,800.00
8253440,1574.55,6708.7194,800.00
8273920,1578.66,6707.2806,800.00
8294400,1582.86,6709.6124,800.00
8314880,1587.07,6708.2678,800.00
8335360,1591.20,6697.8728,800.00
8355840,1595.27,6693.6806,800.00
8376320,1599.38,6699.0110,800.00
8396800,1603.60,6710.2525,800.00
8417280,1607.76,6720.3366,800.00
8437760,1611.84,6723.3839,800.00
8458240,1615.99,6729.8853,800.00
8478720,1619.97,6729.5700,800.00
8499200,1623.95,6737.2663,800.00
8519680,1628.48,6747.7418,800.00
8540160,1632.73,6749.7437,800.00
8560640,1637.07,6743.1411,800.00
8581120,1641.26,6744.3103,800.00
8601600,1645.31,6727.6789,800.00
8622080,1649.79,6731.7530,800.00
8642560,1654.04,6739.6574,800.00
8663040,1658.09,6742.5387,800.00
8683520,1662.08,6758.2891,800.00
8704000,1665.99,6748.3661,800.00
8724480,1670.19,6759.8502,800.00
8744960,1674.24,6755.5404,800.00
8765440,1678.22,6737.9170,800.00
8785920,1681.95,6734.1041,800.00
8806400,1685.49,6720.3856,800.00
8826880,1689.19,6726.1282,800.00
8847360,1692.81,6747.6913,800.00
8867840,1696.51,6767.2914,800.00
8888320,1700.59,6776.4252,800.00
8908800,1704.59,6768.7522,800.00
8929280,1708.80,6750.0849,800.00
8949760,1712.79,6747.8589,800.00
8970240,1716.79,6739.5696,800.00
8990720,1720.70,6724.0788,800.00
9011200,1724.48,6728.7854,800.00
9031680,1728.26,6719.2468,800.00
9052160,1732.00,6740.9748,800.00
9072640,1735.63,6757.7804,800.00
9093120,1739.24,6757.7797,800.00
9113600,1743.12,6750.8697,800.00
9134080,1746.86,6731.2569,800.00
9154560,1750.36,6717.8773,800.00
9175040,1753.94,6733.5449,800.00
9195520,1757.66,6730.6547,800.00
9216000,1761.45,6730.2784,800.00
9236480,1765.43,6735.9481,800.00
9256960,1769.36,6719.4027,800.00
9277440,1772.87,6711.5040,800.00
9297920,1776.31,6613.5875,800.00
9318400,1779.79,6539.2857,800.00
9338880,1783.48,6458.4422,800.00
9359360,1786.98,6432.6267,800.00
9379840,1790.53,6487.8582,800.00
9400320,1794.06,6529.5828,800.00
9420800,1797.58,6550.0605,800.00
9441280,1801.20,6536.5135,800.00
9461760,1804.70,6531.2565,800.00
9482240,1808.20,6507.5382,800.00
9502720,1811.66,6502.5697,800.00
9523200,1815.20,6505.9754,800.00
9543680,1819.08,6499.5392,800.00
9564160,1822.64,6507.6661,800.00
9584640,1826.21,6487.2275,800.00
9605120,1829.95,6448.4492,800.00
9625600,1833.54,6436.7200,800.00
9646080,1837.26,6429.9230,800.00
9666560,1840.86,6435.6259,800.00
9687040,1844.56,6475.1242,800.00
9707520,1848.28,6504.8962,800.00
9728000,1851.91,6489.6565,800.00
9748480,1855.72,6480.7121,800.00
9768960,1859.41,6464.4430,800.00
9789440,1863.07,6433.0642,800.00
9809920,1866.87,6471.1918,800.00
9830400,1870.58,6466.0864,800.00
9850880,1874.47,6496.3039,800.00
9871360,1878.21,6518.2620,800.00
9891840,1881.90,6480.1714,800.00
9912320,1885.72,6501.6076,800.00
9932800,1889.74,6470.3319,800.00
9953280,1893.76,6445.8951,800.00
9973760,1897.29,6449.4141,800.00
9994240,1901.18,6423.0841,800.00
10014720,1904.98,6431.3381,800.00
10035200,1908.71,6451.8241,800.00
10055680,1912.58,6484.1397,800.00
10076160,1916.26,6490.2302,800.00
10096640,1919.96,6499.3278,800.00
10117120,1923.62,6471.4429,800.00
10137600,1927.24,6459.7137,800.00
10158080,1931.05,6455.8008,800.00
10178560,1934.75,6456.5237,800.00
10199040,1938.40,6490.3091,800.00
10219520,1942.06,6484.6501,800.00
10240000,1945.60,6493.9727,800.00
10260480,1949.39,6449.1282,800.00
10280960,1953.05,6424.9830,800.00
10301440,1956.70,6410.0041,800.00
10321920,1960.38,6458.6921,800.00
10342400,1964.12,6472.4557,800.00
10362880,1967.97,6497.9164,800.00
10383360,1971.67,6511.1112,800.00
10403840,1975.71,6491.7261,800.00
10424320,1979.88,6507.2954,800.00
10444800,1983.64,6484.1824,800.00
10465280,1987.57,6477.1745,800.00
10485760,1991.43,6488.6671,800.00
10506240,1995.16,6494.9173,800.00
10526720,1998.85,6488.9312,800.00
10547200,2002.46,6497.0641,800.00
10567680,2006.31,6512.4238,800.00
10588160,2009.98,6521.0911,800.00
10608640,2013.72,6535.8539,800.00
10629120,2017.25,6526.4283,800.00
10649600,2021.06,6511.1674,800.00
10670080,2025.19,6532.8786,800.00
10690560,2028.92,6538.9951,800.00
10711040,2032.56,6560.4768,800.00
10731520,2036.13,6533.7988,800.00
10752000,2039.72,6494.5631,800.00
10772480,2043.60,6507.3979,800.00
10792960,2047.56,6488.2739,800.00
10813440,2051.28,6539.1721,800.00
10833920,2055.02,6533.5557,800.00
10854400,2058.96,6541.3705,800.00
10874880,2063.09,6532.1806,800.00
10895360,2066.72,6524.3387,800.00
10915840,2070.46,6528.1402,800.00
10936320,2074.17,6511.9990,800.00
10956800,2077.87,6524.6321,800.00
10977280,2081.79,6541.5028,800.00
10997760,2085.49,6563.5670,800.00
11018240,2089.22,6572.6732,800.00
11038720,2092.92,6561.7931,800.00
11059200,2096.65,6546.7892,800.00
11079680,2100.53,6518.6431,800.00
11100160,2104.25,6502.1945,800.00
11120640,2107.83,6515.4920,800.00
11141120,2111.55,6463.7021,800.00
11161600,2115.21,6489.9338,800.00
11182080,2118.95,6519.0520,800.00
11202560,2122.68,6514.4200,800.00
11223040,2126.38,6546.4017,800.00
