t,lighthouse.status,lighthouse.bsReceive,lighthouse.bsActive,lighthouse.bsGeoVal,lighthouse.bsCalVal,lighthouse.bsCalCon,lighthouse.bsCalUd,lighthouse.comSync,stateEstimate.x,stateEstimate.y,stateEstimate.z
7.406,2,15,15,15,15,15,0,1,-0.42786383628845215,-0.19497407972812653,-0.008308235555887222
7.506,2,15,15,15,15,15,0,1,-0.4277414083480835,-0.19506831467151642,-0.008105172775685787
7.607,2,15,15,15,15,15,0,1,-0.43011605739593506,-0.19511884450912476,-0.009501508437097073
7.706,2,15,15,15,15,15,0,1,-0.43091094493865967,-0.19526395201683044,-0.0094025619328022
7.807,2,15,15,15,15,15,0,1,-0.430502712726593,-0.19517599046230316,-0.009771062061190605
7.907,2,15,15,15,15,15,0,1,-0.4289839565753937,-0.19589121639728546,-0.009325351566076279
8.006,2,15,15,15,15,15,0,1,-0.4279833734035492,-0.1955365389585495,-0.008383113890886307
8.106,2,15,15,15,15,15,0,1,-0.42892780900001526,-0.19351401925086975,-0.007852260023355484
8.206,2,15,15,15,15,15,0,1,-0.4286111295223236,-0.1944807469844818,-0.008362197317183018
8.306,2,15,15,15,15,15,0,1,-0.430552214384079,-0.19468577206134796,-0.010040674358606339
8.406,2,15,15,15,15,15,0,1,-0.4305287301540375,-0.19588741660118103,-0.0091123441234231
8.506,2,15,15,15,15,15,0,1,-0.4282430410385132,-0.19535474479198456,-0.008898607455193996
8.605,2,15,15,15,15,15,0,1,-0.4282139539718628,-0.19482539594173431,-0.008480566553771496
8.706,2,15,15,15,15,15,0,1,-0.42923080921173096,-0.19396346807479858,-0.008534204214811325
8.806,2,15,15,15,15,15,0,1,-0.42973220348358154,-0.1948534995317459,-0.008460699580609798
8.905,2,15,15,15,15,15,0,1,-0.42956244945526123,-0.19595256447792053,-0.008733422495424747
9.006,2,15,15,15,15,15,0,1,-0.42881688475608826,-0.19527047872543335,-0.009188396856188774
9.109,2,15,15,15,15,15,0,1,-0.4293540120124817,-0.19487446546554565,-0.008988290093839169
9.205,2,15,15,15,15,15,0,1,-0.42822086811065674,-0.1943950057029724,-0.00804014503955841
9.305,2,15,15,15,15,15,0,1,-0.42756977677345276,-0.19457636773586273,-0.007551990915089846
9.405,2,15,15,15,15,15,0,1,-0.4272550940513611,-0.1960938721895218,-0.009080993011593819
9.508,2,15,15,15,15,15,0,1,-0.42997199296951294,-0.1940821409225464,-0.008908720687031746
9.606,2,15,15,15,15,15,0,1,-0.43002593517303467,-0.19465599954128265,-0.008372936397790909
9.706,2,15,15,15,15,15,0,1,-0.4300370216369629,-0.19376064836978912,-0.00872056744992733
9.809,2,15,15,15,15,15,0,1,-0.4293636381626129,-0.19573131203651428,-0.008547036908566952
9.905,2,15,15,15,15,15,0,1,-0.42962369322776794,-0.19517648220062256,-0.00910519901663065
10.005,2,15,15,15,15,15,0,1,-0.42866581678390503,-0.19499649107456207,-0.008896784856915474
10.106,2,15,15,15,15,15,0,1,-0.42949002981185913,-0.19417813420295715,-0.008900203742086887
10.205,2,15,15,15,15,15,0,1,-0.429869681596756,-0.19541794061660767,-0.010055327787995338
10.304,2,15,15,15,15,15,0,1,-0.43104979395866394,-0.19435860216617584,-0.009715110063552856
10.405,2,15,15,15,15,15,0,1,-0.429111123085022,-0.19472254812717438,-0.009010836482048035
10.505,2,15,15,15,15,15,0,1,-0.4279663860797882,-0.19520002603530884,-0.008319911547005177
10.604,2,15,15,15,15,15,0,1,-0.4284030795097351,-0.19442903995513916,-0.007700413465499878
10.705,2,15,15,15,15,15,0,1,-0.42991894483566284,-0.19494926929473877,-0.008792223408818245
10.808,2,15,15,15,15,15,0,1,-0.43015986680984497,-0.1958882361650467,-0.009290453046560287
10.907,2,15,15,15,15,15,0,1,-0.42834675312042236,-0.19489988684654236,-0.007858062162995338
11.004,2,15,15,15,15,15,0,1,-0.4301920235157013,-0.19423048198223114,-0.008893843740224838
11.104,2,15,15,15,15,15,0,1,-0.43080395460128784,-0.19424404203891754,-0.0090261185541749
11.204,2,15,15,15,15,15,0,1,-0.4292581081390381,-0.19451802968978882,-0.008520019240677357
11.306,2,15,15,15,15,15,0,1,-0.429605633020401,-0.19341260194778442,-0.008336001075804234
11.405,2,15,15,15,15,15,0,1,-0.42805367708206177,-0.1948183923959732,-0.008113386109471321
11.504,2,15,15,15,15,15,0,1,-0.4299551248550415,-0.1949634850025177,-0.00944958534091711
11.604,2,15,15,15,15,15,0,1,-0.4307459592819214,-0.19433940947055817,-0.009405541233718395
11.704,2,13,13,15,15,15,0,1,-0.43065139651298523,-0.1950060874223709,-0.009396350011229515
11.812,2,13,13,15,15,15,0,1,-0.4280646741390228,-0.19504320621490479,-0.00886817928403616
11.903,2,15,15,15,15,15,0,1,-0.42775991559028625,-0.1957647055387497,-0.008218533359467983
12.003,2,15,15,15,15,15,0,1,-0.43021485209465027,-0.194951593875885,-0.008491432294249535
12.106,2,15,15,15,15,15,0,1,-0.42980653047561646,-0.19388127326965332,-0.008511867374181747
