t,mode,armed,roll,pitch,yaw,thrust_pct,z,tilt,policy_thrust_pct,vbat
2.916,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.822,0.0,0.0,3.70
2.941,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.822,0.0,0.0,3.70
2.966,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.822,0.0,0.0,3.70
2.991,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.822,0.0,0.0,3.70
3.015,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.822,0.0,0.0,3.70
3.037,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.822,0.0,0.0,3.70
3.058,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.822,0.0,0.0,3.70
3.082,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.674,0.0,0.0,3.70
3.105,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.633,0.0,0.0,3.70
3.126,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.633,0.0,0.0,3.70
3.147,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.633,0.0,0.0,3.70
3.172,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.633,0.0,0.0,3.70
3.197,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.627,0.0,0.0,3.70
3.220,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.627,0.0,0.0,3.70
3.241,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.627,0.0,0.0,3.70
3.266,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.627,0.0,0.0,3.70
3.287,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.627,0.0,0.0,3.70
3.308,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.627,0.0,0.0,3.70
3.332,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.627,0.0,0.0,3.70
3.353,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.627,0.0,0.0,3.70
3.378,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.627,0.0,0.0,3.70
3.403,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.394,0.0,0.0,3.70
3.427,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.394,0.0,0.0,3.70
3.452,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.394,0.0,0.0,3.70
3.477,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.394,0.0,0.0,3.70
3.499,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.394,0.0,0.0,3.70
3.521,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.394,0.0,0.0,3.70
3.543,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.394,0.0,0.0,3.70
