t,acc.x,acc.y,acc.z,gyro.x,gyro.y,gyro.z,policy.abort_reason,policy.act0,policy.armed,policy.mode,policy.p_err,policy.thrust_units,policy.tilt_deg,policy.vbat,stateEstimate.x,stateEstimate.y,stateEstimate.yaw,stateEstimate.z
21.499,0.025445260107517242,-0.04880252853035927,0.9997013211250305,,,17.31449317932129,,,,,,,,,,,,
21.596,,,,,,,0,0.5261644124984741,0,0,0.09438859671354294,45786.28125,3.479921579360962,4.053958892822266,,,,
21.598,,,,1.437841534614563,-1.1008340120315552,,,,,,,,,,8.57219123840332,0.29157909750938416,-3.461890697479248,-0.7480713725090027
21.599,0.035830818116664886,-0.0418718047440052,1.0006203651428223,,,25.029922485351562,,,,,,,,,,,,
21.697,,,,,,,0,0.5261644124984741,0,0,0.09438859671354294,45786.28125,3.479921579360962,4.053958892822266,,,,
21.698,,,,1.109112024307251,-1.0741342306137085,,,,,,,,,,8.758034706115723,0.2769239842891693,-0.8345218300819397,-0.7821729183197021
21.699,0.03817792981863022,-0.0535450205206871,0.9960147142410278,,,31.07720947265625,,,,,,,,,,,,
21.796,,,,,,,0,0.5261644124984741,0,0,0.09438859671354294,45786.28125,3.479921579360962,4.053958892822266,,,,
21.797,,,,1.2734951972961426,-2.283559799194336,,,,,,,,,,8.985353469848633,0.25840598344802856,2.0124783515930176,-0.82442307472229
21.798,0.023699792101979256,-0.06031613424420357,1.0014474391937256,,,30.714609146118164,,,,,,,,,,,,
21.898,,,,,,,0,0.5261644124984741,0,0,0.09438859671354294,45786.28125,3.479921579360962,4.053958892822266,,,,
21.899,,,,0.5239543914794922,-1.4350353479385376,,,,,,,,,,9.193904876708984,0.2419726699590683,5.163189888000488,-0.8624064922332764
21.901,0.014920128509402275,-0.07283784449100494,0.9989973306655884,,,32.256168365478516,,,,,,,,,,,,
21.998,,,,,,,0,0.5261644124984741,0,0,0.09438859671354294,45786.28125,3.479921579360962,4.053958892822266,,,,
21.999,,,,0.512811005115509,-0.10358458757400513,,,,,,,,,,8.697883605957031,0.2453417330980301,6.4713945388793945,-0.9389240145683289
22.001,0.026630615815520287,-0.05603606998920441,0.9987515211105347,,,4.324606418609619,,,,,,,,,,,,
22.096,,,,,,,0,0.5261644124984741,0,0,0.09438859671354294,45786.28125,3.479921579360962,4.053958892822266,,,,
22.097,,,,0.15276148915290833,-0.17753393948078156,,,,,,,,,,8.68341064453125,0.2503856122493744,6.194814205169678,-0.935964822769165
22.098,0.03481566905975342,-0.052936434745788574,1.0003211498260498,,,0.5692416429519653,,,,,,,,,,,,
22.195,,,,,,,0,0.5261644124984741,0,0,0.09438859671354294,45786.28125,3.479921579360962,4.053958892822266,,,,
22.197,,,,0.031238652765750885,0.0015675800386816263,,,,,,,,,,8.878607749938965,0.23294904828071594,6.192966461181641,-0.9856438040733337
22.198,0.033588707447052,-0.052262380719184875,0.9987296462059021,,,-1.341628909111023,,,,,,,,,,,,
22.295,,,,,,,0,0.5261644124984741,0,0,0.09438859671354294,45786.28125,3.479921579360962,4.053958892822266,,,,
22.297,,,,-0.3797708749771118,0.4624241888523102,,,,,,,,,,8.900097846984863,0.22691166400909424,5.785889625549316,-0.9982370734214783
22.298,0.02203204110264778,-0.055448852479457855,0.9966633915901184,,,-7.339244842529297,,,,,,,,,,,,
22.396,,,,,,,0,0.5261644124984741,0,0,0.09438859671354294,45786.28125,3.479921579360962,4.053958892822266,,,,
22.398,,,,-0.03502185270190239,0.22358573973178864,,,,,,,,,,9.090757369995117,0.20801934599876404,5.603446006774902,-1.0487064123153687
22.399,0.030976084992289543,-0.05329294130206108,0.9995375275611877,,,-0.2286905199289322,,,,,,,,,,,,
22.496,,,,,,,0,0.5261644124984741,0,0,0.09438859671354294,45786.28125,3.479921579360962,4.053958892822266,,,,
22.497,,,,-0.22475740313529968,0.12599152326583862,,,,,,,,,,9.13010311126709,0.19990228116512299,5.515234470367432,-1.0649470090866089
22.499,0.03459347411990166,-0.04540237411856651,0.9990546107292175,,,0.059720683842897415,,,,,,,,,,,,
22.596,,,,,,,0,0.5261644124984741,0,0,0.09438859671354294,45786.28125,3.479921579360962,4.053958892822266,,,,
22.597,,,,-0.11144810169935226,0.07660048454999924,,,,,,,,,,9.056795120239258,0.20716892182826996,5.290072917938232,-1.0460494756698608
22.598,0.03293402120471001,-0.046549901366233826,0.9990928173065186,,,0.03686709329485893,,,,,,,,,,,,
22.697,,,,,,,0,0.5261644124984741,0,0,0.09438859671354294,45786.28125,3.479921579360962,4.053958892822266,,,,
22.698,,,,-0.021127406507730484,-0.010672032833099365,,,,,,,,,,9.059638023376465,0.2066846787929535,5.217533111572266,-1.0465097427368164
22.700,0.03367391601204872,-0.04891444742679596,0.9988818764686584,,,-0.3537355065345764,,,,,,,,,,,,
22.795,,,,,,,0,0.5261644124984741,0,0,0.09438859671354294,45786.28125,3.479921579360962,4.053958892822266,,,,
22.797,,,,-0.22470812499523163,-0.1499607115983963,,,,,,,,,,9.042167663574219,0.2081565111875534,5.103159427642822,-1.0417003631591797
22.798,0.035054970532655716,-0.044075045734643936,0.999602198600769,,,0.021038630977272987,,,,,,,,,,,,
22.896,,,,,,,0,0.5261644124984741,0,0,0.09438859671354294,45786.28125,3.479921579360962,4.053958892822266,,,,
22.898,,,,-0.2785016596317291,0.2666419446468353,,,,,,,,,,9.017449378967285,0.2107224464416504,5.040192127227783,-1.0347979068756104
22.899,0.03053188882768154,-0.04822539538145065,0.9985565543174744,,,-9.119378089904785,,,,,,,,,,,,
22.994,,,,,,,0,0.5261644124984741,0,0,0.09438859671354294,45786.28125,3.479921579360962,4.053958892822266,,,,
22.998,,,,-0.39739346504211426,0.7134009003639221,,,,,,,,,,8.974935531616211,0.21493661403656006,4.308600425720215,-1.023195743560791
22.999,0.030950672924518585,-0.05126597732305527,0.9985217452049255,,,-4.399734973907471,,,,,,,,,,,,
23.095,,,,,,,0,0.5261644124984741,0,0,0.09438859671354294,45786.28125,3.479921579360962,4.053958892822266,,,,
23.096,,,,0.05329197272658348,-0.31911924481391907,,,,,,,,,,9.026151657104492,0.20924696326255798,4.185277462005615,-1.0371719598770142
23.097,0.03324643895030022,-0.04607704281806946,1.0007981061935425,,,-0.15707314014434814,,,,,,,,,,,,
23.195,,,,,,,0,0.5261644124984741,0,0,0.09438859671354294,45786.28125,3.479921579360962,4.053958892822266,,,,
23.196,,,,-0.12455269694328308,1.0389195680618286,,,,,,,,,,8.852754592895508,0.2280631959438324,3.8176474571228027,-0.9898216724395752
23.197,0.026857919991016388,-0.04634685069322586,0.9982624053955078,,,-12.802727699279785,,,,,,,,,,,,
23.294,,,,,,,0,0.5261644124984741,0,0,0.09438859671354294,45786.28125,3.479921579360962,4.053958892822266,,,,
23.297,,,,-0.017420770600438118,0.07461744546890259,,,,,,,,,,8.887187957763672,0.22375570237636566,2.979477882385254,-0.9990249872207642
23.298,0.02559780329465866,-0.04872842878103256,1.0015116930007935,,,-10.830288887023926,,,,,,,,,,,,
23.394,,,,,,,0,0.5261644124984741,0,0,0.09438859671354294,45786.28125,3.479921579360962,4.053958892822266,,,,
23.396,,,,-0.3118697702884674,0.35454022884368896,,,,,,,,,,8.80136489868164,0.23299150168895721,2.6075356006622314,-0.9754266142845154
23.398,0.0369127094745636,-0.049881525337696075,1.0000646114349365,,,-3.064288377761841,,,,,,,,,,,,
23.494,,,,,,,0,0.5261644124984741,0,0,0.09438859671354294,45786.28125,3.479921579360962,4.053958892822266,,,,
23.496,,,,0.07688990235328674,-0.561305582523346,,,,,,,,,,8.935611724853516,0.21759818494319916,2.2555737495422363,-1.01205575466156
23.497,0.04098409786820412,-0.05712500587105751,0.9987202286720276,,,-7.000624656677246,,,,,,,,,,,,
23.594,,,,,,,0,0.5261644124984741,0,0,0.09438859671354294,45786.28125,3.479921579360962,4.053958892822266,,,,
23.596,,,,0.2454354166984558,0.8817394971847534,,,,,,,,,,9.070960998535156,0.20166267454624176,0.6690417528152466,-1.048614740371704
23.597,0.029249029234051704,-0.051371242851018906,0.9954736232757568,,,-15.74393081665039,,,,,,,,,,,,
23.694,,,,,,,0,0.5261644124984741,0,0,0.09438859671354294,45786.28125,3.479921579360962,4.053958892822266,,,,
23.696,,,,-0.2506837248802185,-4.220041751861572,,,,,,,,,,9.0773344039917,0.20135684311389923,-1.9270267486572266,-1.0532795190811157
23.697,0.04058938845992088,-0.037083446979522705,1.0006375312805176,,,-26.96874237060547,,,,,,,,,,,,
23.795,,,,,,,0,0.5261644124984741,0,0,0.09438859671354294,45786.28125,3.479921579360962,4.053958892822266,,,,
