timestep,walltime_sec,ep_rew_mean,ep_len_mean
4997120,1863.63,791.5989,383.20
5017600,1870.15,729.8974,368.15
20480,3.87,116.2237,78.53
40960,8.38,118.1554,81.57
61440,12.55,122.4193,85.83
81920,16.68,133.9028,88.55
102400,21.14,137.8237,94.26
122880,25.74,157.3289,96.80
143360,30.16,152.1726,100.01
163840,34.36,163.0089,103.94
184320,38.55,171.7564,107.35
204800,42.59,180.2256,113.77
225280,46.91,182.4956,115.72
245760,51.21,206.8858,123.83
266240,56.01,212.2419,127.45
286720,60.12,203.0102,127.79
307200,64.33,237.1891,132.73
327680,68.40,237.6356,145.31
348160,72.22,255.3998,153.72
368640,76.29,265.6905,157.11
389120,80.15,287.1794,162.95
409600,84.05,284.1670,161.40
430080,88.40,308.3725,172.62
450560,92.39,312.2547,176.25
471040,96.24,306.4004,178.84
491520,100.07,353.8791,211.06
512000,104.17,346.1678,203.47
532480,108.81,390.6382,224.45
552960,112.80,377.1650,225.37
573440,116.70,425.4647,240.49
593920,121.30,412.8092,226.70
614400,125.34,423.0161,230.97
634880,129.41,438.3883,252.10
655360,133.49,436.1986,255.65
675840,137.86,456.7808,262.75
696320,142.57,471.2553,247.45
716800,147.41,484.5806,261.47
737280,151.75,575.6642,276.64
757760,156.22,562.6424,276.11
778240,160.54,503.8852,256.94
798720,164.79,549.6728,273.11
819200,169.59,589.0855,276.79
839680,174.80,519.9732,258.21
860160,179.34,603.1576,293.55
880640,183.65,626.4235,300.70
901120,187.83,645.4324,291.71
921600,191.88,651.1239,294.15
942080,196.16,588.1425,272.53
962560,200.44,581.6904,271.71
983040,204.72,652.2575,287.19
1003520,209.07,653.1936,280.59
1024000,213.58,731.6151,313.56
1044480,218.06,724.7191,308.11
1064960,222.29,740.8704,314.18
1085440,226.56,779.9801,331.27
1105920,231.17,735.3018,310.73
1126400,235.91,657.2551,280.99
1146880,240.33,744.8826,319.54
1167360,244.60,839.5150,332.38
1187840,249.46,806.1613,326.59
1208320,254.11,772.8300,310.87
1228800,258.33,828.1860,332.63
1249280,262.55,824.3505,337.08
1269760,266.63,796.9874,335.18
1290240,270.59,850.2397,349.18
1310720,274.85,915.5909,352.74
1331200,279.54,917.7256,354.16
1351680,284.36,887.9556,349.82
1372160,289.16,870.6263,343.00
1392640,294.10,878.4318,348.66
1413120,298.83,888.5388,346.72
1433600,303.75,891.5541,348.80
1454080,308.41,894.2609,354.66
1474560,312.75,877.6190,337.54
1495040,317.18,886.7348,341.30
1515520,321.32,905.7554,344.37
1536000,326.58,933.9749,347.97
1556480,331.43,958.1277,358.25
1576960,337.01,958.8276,353.68
1597440,342.50,945.3505,354.56
1617920,348.02,915.1923,346.76
1638400,352.77,901.0109,333.81
1658880,357.84,897.4340,321.35
1679360,362.15,953.5736,340.88
1699840,366.53,948.8590,345.18
1720320,370.99,1045.1205,361.37
1740800,375.40,1032.6135,362.82
1761280,379.95,977.7866,347.10
1781760,384.54,963.4144,346.96
1802240,389.15,977.4603,356.24
1822720,393.55,1031.0300,363.68
1843200,397.66,1113.2195,376.80
1863680,401.86,1090.7423,377.01
1884160,406.28,1132.5198,374.25
1904640,410.55,1157.0856,377.73
1925120,414.80,1106.9838,389.87
1945600,419.13,1048.9908,369.58
1966080,423.65,1041.1152,355.41
1986560,428.29,1045.5375,361.88
2007040,432.85,956.2190,341.43
2027520,437.96,1088.4616,378.17
2048000,442.16,1120.0626,378.34
