timestep,walltime_sec,ep_rew_mean,ep_len_mean
4648960,1123.95,1223.2639,416.08
4669440,1128.77,1206.2855,409.24
4689920,1133.55,1135.5106,394.71
4710400,1138.29,1132.7611,399.32
4730880,1143.33,1173.5476,412.23
4751360,1148.40,1179.7439,409.49
4771840,1153.67,1277.5050,415.10
4792320,1158.52,1203.4759,404.19
4812800,1163.47,1091.8332,396.58
4833280,1168.52,1018.3162,390.91
4853760,1173.41,991.0161,378.34
4874240,1178.41,1075.1054,386.75
4894720,1183.38,1123.3087,400.38
4915200,1188.37,1148.8913,397.86
4935680,1193.50,1112.9560,386.66
4956160,1198.53,1169.8627,415.54
4976640,1204.47,1264.2997,447.50
4997120,1210.17,1258.3828,429.47
5017600,1214.84,1259.6801,415.22
5038080,1219.68,1133.5898,384.52
5058560,1224.38,1334.6311,430.60
5079040,1229.08,1415.9808,447.38
5099520,1233.72,1390.6847,446.72
5120000,1238.45,1439.3875,451.39
5140480,1244.84,1376.7795,436.81
5160960,1249.66,1245.9927,395.46
5181440,1254.55,1310.0272,420.80
5201920,1259.78,1393.3973,437.06
5222400,1265.14,1382.7953,432.67
5242880,1270.44,1261.2063,410.19
5263360,1275.80,1241.0214,401.18
5283840,1280.48,1282.2132,402.29
5304320,1285.10,1364.2546,411.49
5324800,1289.73,1426.2673,434.60
5345280,1294.48,1323.8640,419.31
5365760,1299.07,1253.7809,397.79
5386240,1303.68,1297.3345,411.29
5406720,1308.51,1306.8351,418.74
5427200,1313.46,1187.2970,381.73
5447680,1318.50,1147.9976,371.83
5468160,1323.19,1259.4773,403.89
5488640,1328.01,1307.7800,422.25
5509120,1332.66,1280.4754,408.23
5529600,1337.42,1352.6377,420.98
5550080,1342.37,1337.6352,415.23
5570560,1347.11,1269.2398,395.16
5591040,1351.95,1215.3978,389.85
5611520,1356.63,1204.9272,408.18
5632000,1361.34,1209.3866,413.79
5652480,1367.96,1192.8360,394.32
5672960,1373.91,1315.9486,429.55
5693440,1378.70,1391.0760,433.13
5713920,1383.64,1321.5058,403.43
5734400,1388.94,1335.5503,416.52
5754880,1394.17,1372.1988,423.14
5775360,1399.26,1304.1698,408.15
5795840,1404.50,1195.5145,387.77
5816320,1409.55,1278.7226,401.18
5836800,1414.70,1399.0962,427.71
5857280,1419.92,1336.5520,410.54
5877760,1425.16,1276.4575,412.11
5898240,1430.92,1237.9802,411.33
5918720,1435.75,1195.7986,385.82
5939200,1440.52,1291.3002,409.08
5959680,1445.75,1279.0754,388.93
5980160,1450.79,1279.3431,373.87
6000640,1455.93,1416.3805,412.78
6021120,1461.15,1445.7095,420.05
6041600,1467.29,1377.5979,414.80
6062080,1473.22,1426.0709,431.98
6082560,1478.83,1493.5787,434.38
6103040,1484.39,1300.7433,390.72
6123520,1490.03,1365.8558,411.17
6144000,1495.63,1309.6026,413.01
6164480,1503.55,1319.0452,419.86
6184960,1509.92,1245.9837,382.45
6205440,1515.83,1261.3919,393.82
6225920,1521.57,1360.5757,412.95
6246400,1527.69,1182.2582,367.77
6266880,1532.98,1231.9881,380.41
6287360,1538.00,1319.2074,394.28
6307840,1542.88,1246.4688,395.27
6328320,1547.65,1286.2616,397.36
6348800,1552.53,1398.4440,403.29
6369280,1557.56,1395.8913,412.09
6389760,1562.35,1349.3801,406.94
6410240,1567.32,1308.4515,402.02
6430720,1572.41,1347.3738,415.22
6451200,1577.27,1291.8145,392.46
6471680,1582.17,1307.3237,382.83
6492160,1586.84,1396.9730,405.21
6512640,1591.60,1322.8254,401.74
6533120,1596.34,1273.3729,401.81
6553600,1601.30,1336.3346,406.84
6574080,1606.35,1334.1901,385.51
6594560,1611.08,1248.7485,389.22
6615040,1615.93,1354.9672,427.33
6635520,1621.01,1561.4214,483.69
6656000,1627.38,1504.9909,465.88
6676480,1634.86,1374.7219,426.17
6696960,1640.35,1313.4762,401.22
6717440,1645.38,1239.9198,379.87
6737920,1650.43,1299.0783,392.71
6758400,1655.37,1344.5227,394.18
6778880,1660.39,1389.4989,404.86
6799360,1665.19,1402.2270,417.11
6819840,1669.94,1238.6569,395.68
6840320,1674.77,1255.4750,398.71
6860800,1679.65,1435.7456,423.79
6881280,1684.58,1421.5660,419.61
6901760,1689.38,1471.8260,444.98
6922240,1694.07,1518.4383,437.29
6942720,1698.91,1411.1739,418.03
6963200,1703.65,1341.4546,422.88
6983680,1708.53,1329.7244,423.25
7004160,1713.33,1430.6460,443.24
7024640,1718.11,1502.4703,454.54
